home_team,away_team,sport_title,commence_time,bookmaker_titles
New England Patriots,Miami Dolphins,NFL,2024-10-06T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
San Francisco 49ers,Arizona Cardinals,NFL,2024-10-06T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Denver Broncos,Las Vegas Raiders,NFL,2024-10-06T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Rams,Green Bay Packers,NFL,2024-10-06T20:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Seattle Seahawks,New York Giants,NFL,2024-10-06T20:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Pittsburgh Steelers,Dallas Cowboys,NFL,2024-10-07T00:20:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Kansas City Chiefs,New Orleans Saints,NFL,2024-10-08T00:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Seattle Seahawks,San Francisco 49ers,NFL,2024-10-11T00:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Chicago Bears,Jacksonville Jaguars,NFL,2024-10-13T13:30:00Z,"['DraftKings', 'FanDuel', 'Caesars', 'Bovada']"
Green Bay Packers,Arizona Cardinals,NFL,2024-10-13T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Baltimore Ravens,Washington Commanders,NFL,2024-10-13T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Philadelphia Eagles,Cleveland Browns,NFL,2024-10-13T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New England Patriots,Houston Texans,NFL,2024-10-13T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Tennessee Titans,Indianapolis Colts,NFL,2024-10-13T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New Orleans Saints,Tampa Bay Buccaneers,NFL,2024-10-13T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Denver Broncos,Los Angeles Chargers,NFL,2024-10-13T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Las Vegas Raiders,Pittsburgh Steelers,NFL,2024-10-13T20:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Carolina Panthers,Atlanta Falcons,NFL,2024-10-13T20:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Dallas Cowboys,Detroit Lions,NFL,2024-10-13T20:25:00Z,"['DraftKings', 'Caesars']"
New York Giants,Cincinnati Bengals,NFL,2024-10-14T00:20:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New York Jets,Buffalo Bills,NFL,2024-10-15T00:15:00Z,"['DraftKings', 'Caesars']"
New Orleans Saints,Denver Broncos,NFL,2024-10-18T00:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Jacksonville Jaguars,New England Patriots,NFL,2024-10-20T13:30:00Z,"['DraftKings', 'FanDuel', 'Caesars', 'BetUS', 'Bovada']"
Atlanta Falcons,Seattle Seahawks,NFL,2024-10-20T17:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
